Date,Name of State,Susceptible,Total predicted cases,Death Rate (Predicted),Recovery Rate (Predicted),Population Share,Action,Normalized Action,Reward
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,13,24.5283,69.78083973
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,14,26.41509,13.4342337
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,18,33.96226,0.499659205
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,7,13.20755,96992.61798
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,1,1.886792,709748.7022
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30871978
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16156067
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32735346.69
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104932363.5
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929297
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,12,23.07692,189.6766155
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,10,19.23077,733.4389071
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,15,28.84615,10.03546456
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,13,25,240.4177223
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,2,3.846154,261074.8889
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,10,24.39024,1401.485753
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,5,12.19512,108848.6162
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,2,4.878049,4439796.851
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,11,26.82927,1776.441665
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,13,31.70732,4.35745625
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,1,3.703704,11356319.89
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,11,40.74074,269.7903726
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,12,44.44444,201.5590921
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0,0,106362920
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,3,11.11111,95964.42492
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30869678
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16153467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32732453.08
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104929994.8
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1927497
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30869678
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16153467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32732453.08
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104929993.9
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1927497
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,11,22,515.5577536
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,17,34,0.668673094
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,10,20,1489.286039
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,7,14,96989.78841
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,5,10,12984.00365
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,12,34.28571,189.6557252
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,3,8.571429,804134.1918
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,11,31.42857,547.859344
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0,0,106362218
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,9,25.71429,237.6992534
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30867378
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16151467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32730357.7
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104929302.3
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1926097
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,12,21.05263,189.6483522
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,15,26.31579,4.940312381
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,12,21.05263,201.5388162
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,3,5.263158,5295448.033
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,15,26.31579,0.588738688
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30866178
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16149967
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32729160.35
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104929005.4
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1924597
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30866178
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16149967
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32729160.35
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104929004.4
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1924597
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,3,7.894737,1536721.578
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,6,15.78947,40030.2786
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,6,15.78947,81305.07423
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,12,31.57895,653.502819
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,11,28.94737,32.12567136
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30865878
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16149367
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32728561.67
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104927819.5
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1923497
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,19,25,0.172924586
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,19,25,0.090470971
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,19,25,0.183765605
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,16,21.05263,11.96914148
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,3,3.947368,95750.34052
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30863978
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16147467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32726665.85
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104926240.1
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1923197
