"time","S","E","I","R","Epoch"
2020-10-26,37494553.9300075,13096101.4861071,60439370.2324465,81880357.9714389,8
2020-10-27,35257999.2366838,12664028.3852065,60094353.8343436,84894002.1637661,8
2020-10-28,33096892.4903378,12244656.8842829,59680192.6218539,87888641.6235254,8
2020-10-29,31012680.2902879,11834293.3864353,59202447.4778868,90860962.46539,8
2020-10-30,29007320.6513908,11429477.5272021,58665681.9363539,93807903.5050532,8
2020-09-16,176827268.62,2399309,7522336,6161470,7
2020-09-17,174819489.065625,3764257.86108561,7783639.59626827,6542997.09702076,7
2020-09-18,172745094.42989,4934835.75314502,8286604.61940476,6943848.81755978,7
2020-09-19,170553438.212745,5992922.40343622,8989049.51106299,7374973.49275609,7
2020-09-20,168206616.38592,6993644.08052108,9864492.20171778,7845630.9518408,7
2020-09-21,165676013.845492,7973454.2448305,10896880.8465227,8364034.68315475,7
2020-09-22,162940233.655697,8955490.70806636,12076882.4434228,8937776.81281352,7
2020-09-23,159983978.850535,9953063.55527171,13399246.9502732,9574094.26391981,7
2020-09-24,156797555.333311,10971934.9587452,14860871.3522586,10280021.9756856,7
2020-09-25,153376766.581975,12011822.8469876,16459332.113229,11062462.0778089,7
2020-09-26,149723026.504518,13067427.4094443,18191741.7618387,11928187.9441994,7
2020-09-27,145843544.598874,14129205.2258064,20053835.6233342,12883798.1719851,7
2020-09-28,141751462.687018,15184037.3974241,22039255.646973,13935627.8885848,7
2020-09-29,137465828.030059,16215929.9230719,24138995.3998755,15089630.2669938,7
2020-09-30,133011327.455493,17206794.5717018,26341027.8472917,16351233.7455133,7
2020-10-01,128417719.050691,18137360.5458794,28630118.4157596,17725185.6076698,7
2020-10-02,123718931.715272,18988210.8295701,30987849.8160244,19215391.2591333,7
2020-10-03,118951872.282197,19740894.9263564,33392856.3147059,20824760.0967402,7
2020-10-04,114154973.14996,20379061.6326873,35821280.2289892,22555068.6083632,7
2020-10-05,109366598.254011,20889507.0482236,38247426.992411,24406851.3253542,7
2020-10-06,104623428.901463,21263040.7642941,40644584.2659975,26379329.6882448,7
2020-10-07,99958960.0508428,21495098.104563,42985943.6742975,28470381.7902966,7
2020-10-08,95402246.8467565,21585990.3575688,45245582.5426824,30676563.8729921,7
2020-10-09,90976988.7521838,21540819.3254188,47399397.9665662,32993177.5758312,7
2020-10-10,86701015.6535301,21369039.149184,49425945.7737077,35414383.0435781,7
2020-10-11,82586185.9992369,21083725.3851832,51307123.1399892,37933349.0955907,7
2020-10-12,78638662.3757344,20700644.2882899,53028643.5677883,40542433.3881874,7
2020-10-13,74859499.0755245,20237214.1996002,54580289.8544743,43233380.490401,7
2020-10-14,71245451.8045776,19711462.1862924,55955942.7530603,45997526.8760696,7
2020-10-15,67789915.0905321,19141062.5317625,57153403.7659437,48826002.2317617,7
2020-10-16,64483898.3598502,18542520.9139295,58174046.9433115,51709917.4029088,7
2020-10-17,61316966.1245733,17930545.0350059,59022340.9415381,54640531.5188827,7
2020-10-18,58278086.9653352,17317616.0815062,59705287.6414701,57609392.9316885,7
2020-10-19,55356355.2472434,16713755.6447556,60231821.8057321,60608450.9222689,7
2020-10-20,52541567.0776977,16126468.1671301,60612211.1036884,63630137.2714837,7
2020-10-21,49824646.3269072,15560829.5318843,60857489.2250609,66667418.5361477,7
2020-10-22,47197926.8499829,15019688.8055116,60978946.6270121,69713821.3374934,7
2020-10-23,44655304.0459362,14503950.0161638,60987695.5627518,72763433.9951482,7
2020-10-24,42192273.0218138,14012903.3181888,60894318.8025674,75810888.47743,7
2020-10-25,39805872.6116655,13544578.9121331,60708605.1397497,78851326.9564517,7
2020-10-26,37494555.0166518,13096101.6016885,60439369.7250783,81880357.2765814,7
2020-10-27,35258000.2678797,12664028.5292665,60094353.3780506,84894001.4448032,7
2020-10-28,33096893.4647611,12244657.052671,59680192.2194817,87888640.8830862,7
2020-10-29,31012681.2076252,11834293.574867,59202447.1312869,90860961.7062208,7
2020-10-30,29007321.5121939,11429477.7314156,58665681.6464216,93807902.7299689,7
2020-09-16,176827268.62,2399309,7522336,6161470,6
2020-09-17,174819488.853117,3764258.0531199,7783639.61640019,6542997.09736287,6
2020-09-18,172745093.991435,4934836.11362921,8286604.69478028,6943848.82015585,6
2020-09-19,170553437.522602,5992922.92426036,8989049.6719988,7374973.50113927,6
2020-09-20,168206615.408603,6993644.76386731,9864492.47652797,7845630.97100128,6
2020-09-21,165676012.537491,7973455.09969474,10896881.2633273,8364034.71948717,6
2020-09-22,162940231.966728,8955491.7478616,12076883.0312721,8937776.87413825,6
2020-09-23,159983976.724599,9953064.79604657,13399247.7398065,9574094.35954756,6
2020-09-24,156797552.709743,10971936.417743,14860872.3760081,10280022.1165059,6
2020-09-25,153376763.396627,12011824.5413499,16459333.4056375,11062462.2763858,6
2020-09-26,149723022.691168,13067429.3549531,18191743.3590161,11928188.2148626,6
2020-09-27,145843540.090951,14129207.4355781,20053837.5625691,12883798.5309016,6
2020-09-28,141751457.419666,15184039.8805333,22039257.9659999,13935628.3538008,6
2020-09-29,137465821.942563,16215932.6831142,24138998.1358893,15089630.8584333,6
2020-09-30,133011320.494028,17206797.6053347,26341031.0357162,16351234.4849216,6
2020-10-01,128417711.171317,18137363.8414064,28630122.0887879,17725186.5184889,6
2020-10-02,123718922.887059,18988214.3656857,30987854.0009554,19215392.3663,6
2020-10-03,118951862.490299,19740898.6711694,33392861.0321351,20824761.4263964,6
2020-10-04,114154962.398427,20379065.5431671,35821285.4909324,22555070.187474,6
2020-10-05,109366586.568097,20889511.0702113,38247432.8004589,24406853.1812324,6
2020-10-06,104623416.32917,21263044.8332074,40644590.6096365,26379331.8479866,6
2020-10-07,99958946.6634536,21495102.1468735,42985950.5295328,28470384.2801402,6
2020-10-08,95402232.7382356,21585994.2930453,45245589.871101,30676566.7176181,6
2020-10-09,90976974.0372662,21540823.070125,47399405.7149786,32993180.7976302,6
2020-10-10,86701000.4645543,21369042.6190533,49425953.8744748,35414386.6619177,6
2020-10-11,82586170.4818484,21083728.4999357,51307131.5121003,37933353.1261157,6
2020-10-12,78638646.6837082,20700646.9754145,53028652.1186829,40542437.8421945,6
2020-10-13,74859483.365055,20237216.3980603,54580298.4825626,43233385.374322,6
2020-10-14,71245436.2284618,19711463.8496373,55955951.3508072,45997532.1910937,6
2020-10-15,67789899.7926613,19141063.6303592,57153412.2233554,48826007.9736241,6
2020-10-16,64483883.4704133,18542521.4361318,58174055.151595,51709923.5618599,6
2020-10-17,61316951.7562758,17930544.9871874,59022348.796698,54640538.0798388,6
2020-10-18,58278073.2108278,17317615.4869908,59705295.0476255,57609399.8745558,6
2020-10-19,55356342.1778279,16713754.5417941,60231828.6779552,60608458.2224229,6
2020-10-20,52541554.7432524,16126466.6061563,60612217.3702163,63630144.900375,6
2020-10-21,49824634.7568789,15560827.5723241,60857494.8287964,66667426.4620006,6
2020-10-22,47197916.0552194,15019686.5124343,60978951.5262846,69713829.5260617,6
2020-10-23,44655294.0211029,14503947.457036,60987699.7313709,72763442.4104901,6
