"time","S","E","I","R","Epoch"
2020-09-27,146577482.494733,14128070.5580983,20050519.505065,12882950.9600536,7
2020-09-28,142484471.033033,15183963.7276188,22035973.9345181,13934614.82278,7
2020-09-29,138197260.580386,16217304.3948833,24135999.47321,15088459.0694708,7
2020-09-30,133740407.028989,17210050.1523236,26338639.883912,16349926.4527252,7
2020-10-01,129143539.501717,18142965.5592067,28628736.2159385,17723782.2410881,7
2020-10-02,124440466.661787,18996654.3795494,30987948.8060058,19213953.6706082,7
2020-10-03,119667990.567823,19752668.9188285,33394988.1988524,20823375.8324457,7
2020-10-04,114864460.547637,20394640.5494498,35826067.8165585,22553854.6043047,7
2020-10-05,110068183.996177,20909327.1780895,38255555.0997647,24405957.2439191,7
2020-10-06,105315815.308935,21287480.4875303,40656787.0000164,26378940.721468,7
2020-10-07,100640853.49256,21524460.8608573,43002988.4211804,28470720.7433521,7
2020-10-08,96072386.9574262,21620492.4641114,45268251.7054764,30677892.390936,7
2020-10-09,91634174.422345,21580582.9234244,47428469.7706514,32995796.4015292,7
2020-10-10,87344125.8144068,21414090.6727102,49462175.6895134,35418631.3413196,7
2020-10-11,83214196.5421574,21133998.5222757,51351225.6097228,37939602.8437941,7
2020-10-12,79250656.9975069,20755987.6433251,53081275.9724861,40551102.9046319,7
2020-10-13,75454675.3169078,20297401.9071933,54642039.0600465,43244907.2338024,7
2020-10-14,71823123.0681098,19776205.9221989,56027314.8790201,46012379.6486212,7
2020-10-15,68349509.2339829,19210024.5180017,57234816.7813589,48844672.9846065,7
2020-10-16,65024953.9771455,18615326.6560138,58265826.1791271,51732916.7056637,7
2020-10-17,61839127.1676343,18006795.0628495,59124717.4301151,54668383.8573511,7
2020-10-18,58781096.1853871,17396896.5968123,59818398.7327932,57642632.0029574,7
2020-10-19,55840046.9383602,16795647.7415804,60355713.8336257,60647615.0043836,7
2020-10-20,53005859.5931625,16210555.6143951,60746843.5366236,63675764.7737688,7
2020-10-21,50269534.1955298,15646705.3229777,61002740.2314251,66720043.7680174,7
2020-10-22,47623473.6940602,15106959.9553619,61134619.2485657,69773970.6199622,7
2020-10-23,45061635.1902079,14592241.3699151,61153524.8997779,72831622.0580492,7
2020-10-24,42579569.1344877,14101859.9828482,61069979.1459925,75887615.2546216,7
2020-10-25,40174364.2898996,13633867.3558671,60893717.1491536,78937074.7230297,7
2020-10-26,37844518.1686978,13185409.8543192,60633507.3502906,81975588.1446424,7
2020-10-27,35589752.4816902,12753065.4170066,60297050.4231323,84999155.196121,7
2020-10-28,33410791.2881309,12333150.738047,59890948.3802101,88004133.111562,7
2020-10-29,31309118.2165646,11921989.6780062,59420733.37201,90987182.2513692,7
2020-10-30,29286726.9664695,11516137.2669709,58890944.9236323,93945214.3608773,7
2020-09-16,177555908.51795,2399309,7522336,6161470,6
2020-09-17,175548866.036438,3763592.84299893,7783568.7548859,6542995.88362753,6
2020-09-18,173475184.330382,4933651.37956242,8286347.9818509,6943839.82615469,6
2020-09-19,171284243.644259,5991313.2830371,8988521.39809877,7374945.19255535,6
2020-09-20,168938146.024252,6991681.91255613,9863627.51528049,7845568.0658612,6
2020-09-21,166408265.187239,7971207.66597098,10895631.5516125,8363919.11312729,6
2020-09-22,163673177.133047,8953040.1978531,12075217.7049697,8937588.48207971,6
2020-09-23,160717542.155446,9950513.37624102,13397155.9490044,9573812.03725824,6
2020-09-24,157531607.468272,10969423.1222882,14858368.1518247,10279624.7755652,6
2020-09-25,154111101.701103,12009529.3931501,16456462.1386441,11061930.2850524,6
2020-09-26,150457348.027088,13065580.8721704,18188589.4679091,11927505.1507827,6
2020-09-27,146577450.406531,14128086.9094672,20050532.858887,12882953.3430644,6
2020-09-28,142484432.617728,15183982.7467407,22035990.2086854,13934617.9447964,6
2020-09-29,138197214.941132,16217326.3938487,24136019.0959351,15088463.0870346,6
2020-09-30,133740353.181889,17210075.4634733,26338663.3276999,16349931.5448879,6
2020-10-01,129143476.374161,18142994.5328289,28628763.9992886,17723788.6116711,6
2020-10-02,124440393.092132,18996687.3807826,30987981.4945044,19213961.5505311,6
2020-10-03,119667905.306686,19752706.3236853,33395026.405483,20823385.4820956,6
2020-10-04,114864362.261146,20394682.7398154,35826112.2010968,22553866.3158924,6
2020-10-05,110068071.271537,20909374.5355577,38255606.3670781,24405971.3437775,6
2020-10-06,105315686.662663,21287533.3859745,40656845.8970707,26378957.5722421,6
2020-10-07,100640707.381792,21524519.657609,43003055.7325511,28470740.7459981,6
2020-10-08,96072221.7946618,21620557.4896687,45268328.2471713,30677915.9864483,6
2020-10-09,91633988.5942618,21580654.4694404,47428556.3819182,32995824.0723297,6
2020-10-10,87343917.7048325,21414168.9784312,49462273.222524,35418663.6121623,6
2020-10-11,83213964.5596835,21134083.759342,51351334.9168207,37939640.2821038,6
2020-10-12,79250399.6079617,20756079.8990114,53081397.8908366,40551146.1201404,6
